iteracion,latencia_ms
1;390.000
2;52.000
3;35.000
4;39.000
5;40.000
6;35.000
7;33.000
8;28.000
9;26.000
10;26.000
11;23.000
12;23.000
13;11.000
14;5.000
15;5.000
16;6.000
17;7.000
18;9.000
19;7.000
20;6.000
21;6.000
22;8.000
23;8.000
24;7.000
25;7.000
26;7.000
27;13.000
28;8.000
29;8.000
30;7.000
31;7.000
32;8.000
33;9.000
34;7.000
35;7.000
36;6.000
37;12.000
38;5.000
39;8.000
40;6.000
41;16.000
42;9.000
43;6.000
44;6.000
45;5.000
46;6.000
47;11.000
48;7.000
49;6.000
50;14.000
51;6.000
52;7.000
53;7.000
54;7.000
55;7.000
56;7.000
57;7.000
58;6.000
59;7.000
60;11.000
61;6.000
62;7.000
63;9.000
64;7.000
65;7.000
66;5.000
67;6.000
68;6.000
69;6.000
70;6.000
71;6.000
72;5.000
73;5.000
74;5.000
75;6.000
76;4.000
77;10.000
78;6.000
79;6.000
80;5.000
81;6.000
82;5.000
83;7.000
84;6.000
85;5.000
86;13.000
87;6.000
88;6.000
89;8.000
90;6.000
91;7.000
92;7.000
93;7.000
94;5.000
95;6.000
96;7.000
97;6.000
98;8.000
99;7.000
100;5.000
101;5.000
102;5.000
103;5.000
104;8.000
105;7.000
106;6.000
107;13.000
108;6.000
109;5.000
110;7.000
111;6.000
112;7.000
113;6.000
114;7.000
115;7.000
116;10.000
117;4.000
118;5.000
119;8.000
120;4.000
121;7.000
122;4.000
123;5.000
124;5.000
125;4.000
126;5.000
127;5.000
128;6.000
129;5.000
130;4.000
131;4.000
132;4.000
133;7.000
134;5.000
135;4.000
136;4.000
137;4.000
138;4.000
139;8.000
140;4.000
141;4.000
142;5.000
143;4.000
144;4.000
145;8.000
146;4.000
147;4.000
148;5.000
149;6.000
150;5.000
151;6.000
152;14.000
153;5.000
154;6.000
155;5.000
156;5.000
157;6.000
158;5.000
159;5.000
160;4.000
161;5.000
162;6.000
163;6.000
164;6.000
165;6.000
166;11.000
167;6.000
168;6.000
169;5.000
